cust_id,term,amount,apy
979460,15,354409,4.54
722536,15,390864,5.15
481983,30,392476,3.94
927826,30,431809,3.76
371253,30,475801,4.12
104217,30,401986,4.2
770372,20,410816,4.74
482472,30,428953,4.02
381522,30,383643,4.52
103644,30,430117,3.18
572315,30,343721,4.14
139789,30,495102,4.88
645494,30,364209,4.31
815035,30,419609,4.87
900223,20,306000,4.26
434453,30,362631,3.86
481009,30,314231,4.66
949784,30,314642,4.79
969163,30,427246,4.11
294943,30,407224,4.32
287713,15,415277,4.9
963342,15,401394,4.59
319197,30,431843,4.81
735191,15,383529,4.65
122111,30,412904,4.38
227982,20,367899,4.56
643833,15,427233,4.94
309748,30,393489,4.39
782127,30,311207,3.85
369529,30,419634,4.25
644813,30,306595,4.28
602620,30,494802,4.84
668757,30,393288,4.35
122571,30,442669,4.23
842423,30,406133,4.55
249012,15,440383,4.36
511375,30,339042,4.6
805845,30,465716,4.68
258914,30,342360,4.15
174632,20,375883,4.48
980804,15,410772,4.08
655654,30,509167,4.51
356453,30,280583,4.58
106797,30,367187,4.57
583737,15,477868,4.71
118560,15,393175,4.16
560891,30,366184,3.61
373175,15,333974,4.19
693160,30,386432,4.44
330314,30,335503,4.61
329519,30,363483,4.74
212766,20,201765,4.41
371030,30,530281,4.03
925308,30,400169,4.36
980718,30,391000,3.55
145371,30,360912,4.38
641724,30,355958,5.32
402166,30,285185,4.04
172982,30,334661,4.14
265089,30,434166,4.67
440699,30,361878,3.93
823981,30,457013,4.28
586631,30,360294,4.83
613195,15,335575,4.01
563894,30,421967,4.21
946386,30,278849,3.82
716519,30,366913,4.23
954696,30,476456,4.31
231186,20,243959,4.41
345770,30,357770,3.81
385511,15,467972,4.49
864653,30,404229,4.64
186190,30,309713,4.23
892874,30,415007,3.62
488191,15,263915,4.75
465676,15,239463,4.52
407331,20,400105,3.94
159224,15,417385,4.35
644674,15,403081,3.44
720708,30,401923,3.93
382022,30,246512,5.04
830160,30,385112,4.3
719888,30,429768,4.85
838225,20,277064,4.06
952123,30,409034,4.03
772227,10,472628,4.11
576480,10,334485,4.05
448371,30,358050,4.77
960904,30,496321,4.41
809951,30,330006,4.65
305021,20,190098,4.56
923567,15,267340,4.73
724135,30,314294,3.81
919232,10,420061,4.25
263367,30,311797,4.2
884523,30,394556,4.12
615071,30,295296,3.18
389149,30,314117,3.37
826717,30,489582,4.44
164524,30,226119,3.91
818440,15,396627,4.37
990223,30,372004,3.98
695649,30,349192,3.83
237601,30,264255,4.07
403258,30,300229,4.33
295483,30,357924,3.99
741222,30,372926,3.93
785131,30,355351,4.99
343823,30,346878,4.3
287119,30,352302,4.67
270082,30,334441,3.31
888663,10,412374,5.39
117095,30,409554,4.11
635502,15,412969,3.87
502819,30,355778,3.86
873901,30,334889,4.18
625788,15,436976,4.72
600759,30,444916,3.89
510210,30,352734,4.81
534288,10,355272,4.72
889713,30,376100,4.12
167408,30,283325,4.04
825413,30,400986,3.53
476312,30,356431,5.32
670437,30,382021,3.99
834688,10,265963,4.79
285318,10,452705,3.65
970597,30,414711,5.16
313746,30,315051,3.67
675786,30,498703,3.9
342480,15,398378,4.74
949159,30,220321,3.55
891729,30,421568,5.12
857105,30,197971,4.89
468820,30,395468,4.39
275085,30,388123,5.38
997878,30,383796,4.29
687218,30,432532,3.93
163816,10,382897,4.53
785907,15,403601,5.31
725569,30,303407,4.59
411401,15,430031,3.98
851663,20,379315,4.61
883112,15,216575,4.16
879908,30,410525,4.28
691983,30,397531,4.52
115253,30,280329,4.03
968137,15,404805,3.54
295496,30,415916,4.95
637274,30,316773,4.85
513750,30,368399,4.49
870092,30,381830,5.09
967352,30,477225,4.09
132358,30,387424,4.13
117116,30,455973,4.22
377038,30,404014,4.98
754553,30,492396,4.23
323064,15,350567,3.92
792421,30,254954,3.92
860613,15,367302,4.22
488749,30,426589,3.99
616166,30,227570,4.02
440986,30,327518,4.15
328994,30,336845,4.17
529545,15,347074,4.37
346848,30,383654,3.86
354812,30,393433,4.33
788668,30,489491,3.77
817498,30,349219,4.59
302423,10,350972,4.3
118633,20,456296,4.86
678952,15,326007,4.38
197879,30,366581,4.03
419800,10,216578,4.19
247470,30,271488,4.45
340018,30,292298,4.68
958332,30,320148,4.16
233522,30,398929,4.49
899617,15,341529,4.07
154596,30,308555,4.34
700244,30,263671,4.09
414617,15,471855,3.58
301426,30,375809,4.03
930784,30,386068,4.6
410351,20,510709,3.83
999956,30,455013,4.7
756004,30,260095,3.7
905032,30,275326,3.99
780407,10,387163,3.9
452149,30,563599,4.52
579214,10,335748,3.82
101961,30,273992,4.34
242777,15,395686,4.15
685749,15,309844,4.28
925949,15,348541,3.5
467543,30,461942,3.98
229605,30,374852,4.29
702148,20,275737,4.85
485536,15,238984,3.07
942567,15,476993,4.38
379494,30,359523,3.95
889514,15,306899,4.5
906893,30,157029,3.92
578734,30,295773,4.83
601857,30,340393,4.47
702654,30,324210,3.56
943556,15,380666,4.66
622998,30,374221,4.27
140562,30,261988,5.08
994686,30,326453,4.78
965811,30,510352,5.32
763041,30,392550,3.53
322323,15,321140,4.26
338516,30,459520,4.04
643573,30,237906,3.78
146230,30,400192,4.58
685407,10,455242,3.62
910403,30,396001,4.29
238412,30,464286,4.17
369279,15,334963,4.64
353831,30,235248,4.39
586978,15,277029,4.32
833860,30,479318,4.02
415276,15,305668,4.13
183760,15,325664,3.74
376967,30,477159,4.04
327565,30,365279,3.75
380530,15,460677,4.31
946726,10,379678,4.96
648907,30,325293,4.62
404747,30,367006,3.9
969026,30,353234,4.85
919606,10,450929,4.18
624054,15,276232,3.08
331441,30,448087,3.82
226248,30,480426,4.4
310818,30,391420,4.73
447083,30,502503,4.55
472253,15,390301,4.18
294579,30,324740,5.31
572371,30,399500,4.83
617721,15,392515,4.7
783356,30,306578,4.89
227330,10,231093,3.88
134613,10,388100,4.2
108018,30,491622,4.46
531816,15,417298,4.33
102211,15,416816,3.94
619808,15,476038,4.37
626576,30,483056,3.44
129266,30,331961,4.83
721633,15,362069,4.04
112897,30,358504,3.63
880887,15,424462,4.33
193627,15,398051,4.12
688147,30,302667,3.78
399070,30,344501,3.48
241214,20,545849,3.74
512988,30,367773,4.69
525023,30,367113,4.7
445742,30,272845,4.04
858488,30,354042,4.2
491144,30,357928,3.84
241300,30,420111,3.91
862882,15,317950,4.26
438661,30,305134,5.09
458675,15,394505,4.61
844020,30,309827,4.24
295374,30,339122,3.37
285257,30,243484,4.26
301579,30,437246,3.63
472474,30,358378,3.89
732271,30,373457,3.65
596408,30,402495,3.86
521354,30,447203,4.34
728008,30,526507,4.43
257581,30,398944,4.29
341683,30,462075,4.55
302104,10,440556,4.04
854988,30,295253,4.09
300751,30,513038,3.67
461437,30,285899,4.56
480838,30,345787,4.22
874848,30,367879,4.41
209375,15,375192,3.66
290536,15,217238,4.1
768858,15,458423,3.73
713819,15,342220,4.25
481613,30,297863,3.9
753528,30,480873,4.04
338130,30,354147,4.09
952652,30,555202,3.72
533005,30,334324,4.29
670706,20,364751,4.6
586830,30,300139,3.91
288867,30,436094,4.31
937587,30,337969,4.91
109188,15,412148,5.41
522328,30,403211,3.99
454812,30,319587,3.47
314196,15,447093,4.05
532590,15,499993,4.46
722483,30,301235,4.46
746705,30,445172,5.18
435173,15,421844,4.11
944148,30,426619,3.55
600855,30,300572,4.47
453220,30,397900,4.75
188192,15,494409,5.26
346919,30,484150,4.66
716874,30,326891,4.05
270624,15,360209,4.56
592571,15,385252,3.68
364653,30,440539,3.18
857784,30,429505,3.88
277127,30,386534,3.88
530245,30,411797,3.31
135715,30,293296,4.2
880312,30,414753,4.74
520491,30,301699,3.73
523749,30,395833,4.44
362891,30,421025,5.02
311731,30,358415,4.6
549346,15,476942,4.6
760494,30,399325,4.54
731966,30,425323,3.55
576968,30,365529,4.96
618150,15,500384,3.89
175911,30,378233,3.99
864492,30,402344,3.85
899280,10,325162,4.58
162590,30,287560,4.51
746922,15,507697,4.05
777836,30,428443,4.05
999580,30,347779,4.22
974101,15,280780,4.9
694433,30,254374,4.08
463277,30,280860,3.47
960358,30,337487,4.34
247479,30,369907,4.54
374368,30,316641,3.89
309818,30,376937,4.27
400651,30,316463,4.2
583957,30,332458,3.71
577559,15,336332,4.37
319285,30,508005,4.44
998678,30,378500,4.77
891633,30,459268,4.53
312722,30,418767,5.21
641910,30,303276,4.13
638003,30,433811,4.97
774074,30,255266,3.63
494398,30,528352,4.8
242760,30,381537,4.56
592435,30,238537,4.86
241888,30,392665,4.33
319005,15,329275,3.56
687960,30,342530,3.82
843719,30,220825,4.14
575307,30,408209,4.18
321582,30,282567,3.86
882322,30,468416,4.98
566955,30,504793,3.83
848950,30,319030,3.68
512305,30,543099,3.67
967361,30,267505,3.73
610871,30,443416,4.02
154059,30,398465,4.36
282854,30,445190,4.32
308474,15,490811,4.77
460436,30,473458,3.87
143407,30,342592,3.62
888742,30,481840,4.64
819830,30,511338,4.36
670989,30,369912,4.35
424398,30,404149,3.16
686905,30,351237,4.24
954221,30,381271,2.97
594596,30,313597,4.14
129649,30,406307,4.5
615522,30,321516,4.71
805853,15,362312,4.16
394025,30,427391,3.96
703711,30,403293,5.08
347816,15,346241,4.22
372662,30,481412,4.83
578589,30,283538,4.77
641576,30,469009,4.15
310206,15,155018,4.61
591060,20,400290,4.81
556477,30,348450,3.8
528950,30,296278,3.23
780192,30,356180,3.11
509282,30,285051,4.88
894990,30,401837,3.59
932231,15,332550,5.05
296878,30,494415,4.32
658531,30,443078,5.03
340940,15,401884,4.68
533279,30,416589,4.28
879763,30,329753,3.07
980396,30,345370,4.54
289109,15,422844,5.08
912204,30,419126,3.75
689634,30,285791,4.29
832791,15,329704,3.66
503875,30,405112,2.98
504482,30,404274,3.59
830366,30,453663,2.89
409832,15,344219,4.28
780053,20,490021,3.57
979314,30,427541,4.46
275811,15,421778,4.05
972509,30,313575,4.22
378141,20,499531,4.52
503673,30,295584,3.75
842475,30,388425,4.19
929509,30,358517,5.82
356405,30,389648,3.81
593087,15,231191,4.6
337211,30,274558,4.54
153894,30,274290,3.71
135631,30,259183,4.04
752945,15,440329,3.82
460724,30,389438,4.36
676619,30,370158,5.4
981790,30,395518,5.11
113538,30,439535,4.51
458054,30,347574,4.26
863082,30,364527,4.03
479158,30,421417,4.5
263073,30,350308,4.73
992862,30,547140,4.13
384941,30,236183,4.52
166377,20,272925,4.23
726675,20,364389,4.61
856582,30,418923,5.02
686481,30,304316,4.41
124308,30,363379,4.19
620933,30,453220,4.78
741163,30,415376,4.71
738798,30,257139,3.75
815259,30,317214,4.97
269183,15,480325,3.9
848084,20,305476,4.33
761112,30,370693,3.8
823349,15,396279,4.48
116609,30,419084,3.91
193565,30,335244,3.96
498050,30,307157,4.49
289961,30,407369,5.16
633638,30,350861,3.26
454478,30,432568,3.78
341595,15,445500,3.83
439671,15,360066,4.04
762799,30,438106,4.67
129941,15,250685,3.38
232431,30,354387,4.7
845776,30,336911,3.55
614240,10,416608,4.38
989451,15,426836,3.32
580724,15,435518,4.39
724989,15,393267,5.19
103864,15,387436,5.33
580737,15,312559,4.45
964122,30,466792,4.02
938784,30,341680,3.91
514136,15,495848,3.73
626117,30,386282,4.14
382451,30,299915,4.37
311806,30,314110,3.44
513109,30,357192,4.67
940649,30,598777,5.11
915667,30,287495,4.61
678791,30,419106,5.12
905779,30,281582,4.11
118390,20,287678,4.53
110860,30,303910,4.4
807034,30,358483,4.47
143718,30,472312,3.97
461705,30,257988,4.39
966456,20,337139,4.02
661292,30,365864,3.74
121767,30,337359,3.36
843218,30,352196,4.16
413572,30,313107,4.15
668205,30,443822,4.66
639899,30,343554,3.92
503489,30,474190,4.35
950481,15,326540,4.09
447614,30,345311,4.76
964621,30,312663,4.38
955970,30,299242,3.85
765340,30,280528,4.78
232553,15,385805,3.27
923518,30,356850,5.53
477886,30,272355,4.46
924047,30,359689,2.85
810389,30,319977,3.94
251285,30,487140,4.19
823336,20,334581,4.64
777709,30,334618,4.02
984938,30,448982,4.72
409634,30,317723,3.72
452084,15,496863,4.34
791086,15,317845,2.8
404529,15,329233,4.41
116344,30,337623,4.02
534568,15,409770,4.09
164970,10,391745,3.98
789803,30,383132,4.15
112332,15,309332,4.77
645639,30,322329,3.79
781159,15,379559,4.58
357862,15,393519,3.85
989658,30,415028,4.55
816817,30,327136,3.61
986636,30,299437,4.5
508276,30,410339,3.84
671550,30,391973,4.79
629542,30,444709,4.39
109362,30,601910,3.74
178755,30,326576,3.22
255293,30,419582,4.2
859834,30,262462,4.4
158018,15,225854,4.72
389906,30,384936,3.96
279285,30,453707,3.95
122120,15,388181,4.04
148187,30,350057,4.73
740478,30,379839,3.96
213933,30,434882,3.7
159863,15,282994,4.56
909941,15,358400,4.2
349674,15,515584,4.9
836044,15,379391,5.4
596309,30,401073,4.44
360556,15,407278,4.05
202900,30,409247,3.99
389666,15,267637,5.54
362162,30,386312,4.81
666607,15,347015,4.45
854347,15,321816,4.1
166185,15,311448,4.59
500941,30,403825,3.82
298274,30,431759,4.76
476863,20,466127,3.75
348742,20,389243,4.43
537973,30,300250,3.74
991183,15,354584,4.29
216819,30,389154,3.79
277775,30,505857,4.89
950283,15,274121,5.57
482897,15,388698,4.79
261475,20,460730,4.78
407253,15,375471,4.32
766020,30,441265,4.74
857183,10,257252,4.9
176018,15,494417,4.12
557508,30,313202,4.35
923864,30,266614,3.08
802081,30,334322,4.19
473943,30,374532,4.55
465792,30,459915,3.34
536906,30,328205,4.1
769420,30,493476,5.03
466604,30,387702,3.9
416866,15,497371,3.52
402220,30,367965,4.61
812632,30,418244,3.76
816807,15,357913,3.49
119074,30,425815,4.67
499846,30,490518,4.37
106859,15,420506,3.95
393401,15,458953,3.75
867829,30,351683,4.51
105721,30,448500,3.21
816199,30,368879,3.8
946829,30,525446,4.78
389175,30,424477,3.76
752086,30,416148,3.74
478103,15,379277,4.17
863898,15,430753,3.45
941365,30,347000,3.79
831161,30,278253,4.41
681975,30,460742,4.51
353745,15,372470,4.37
463360,30,480385,4.02
848593,30,373430,4.77
111692,20,349336,4.6
640120,20,436380,4.09
184372,30,206319,5.09
988762,30,369598,3.9
371778,30,245509,4.55
212470,30,554529,4.22
475327,30,395313,4.84
957615,15,387394,4.38
907679,15,479383,3.78
786784,30,489269,4.0
867490,30,447075,4.42
214630,30,390905,4.32
161221,15,263324,4.6
716121,30,415949,4.5
216640,30,342214,4.73
101806,30,417063,4.36
799724,30,399181,4.29
719363,15,378143,4.03
425800,30,370659,4.78
451769,30,413343,4.11
941685,15,507819,4.37
907453,30,272811,4.53
983545,30,364513,4.81
213634,15,319138,5.0
515964,30,342774,5.07
671271,15,326775,4.57
977257,30,434577,3.92
911557,30,340761,4.35
807660,20,337036,4.39
441248,30,396861,3.89
464538,30,486990,3.67
770303,15,384518,3.74
707928,30,441031,4.11
347513,30,356080,4.29
994143,30,477590,4.69
143435,30,358549,4.96
265391,30,364577,3.03
897607,30,399586,3.7
213060,30,331324,3.91
698345,15,208283,4.36
884641,30,416988,4.19
637463,30,309645,4.02
616218,15,321261,3.75
556522,15,331022,4.72
140934,30,414937,4.64
864944,15,317975,5.2
330523,30,343377,4.16
105644,30,335931,4.46
645593,15,385344,3.63
271766,30,351033,4.34
479878,20,369525,3.52
548132,30,492495,4.55
656178,20,356066,4.78
698407,30,358793,4.23
408016,15,394369,4.25
361380,30,264316,4.71
310730,30,355147,3.84
390581,30,378095,4.03
484764,30,241018,4.49
889230,30,388070,4.98
